name,id,year
Tournaments,401552854,2021-22
TOUR Championship,401353276,2021-22
BMW Championship,401353275,2021-22
FedEx St. Jude Championship,401353274,2021-22
Wyndham Championship,401353213,2021-22
Rocket Mortgage Classic,401353214,2021-22
3M Open,401353215,2021-22
Barracuda Championship,401353216,2021-22
The Open,401353217,2021-22
Barbasol Championship,401353218,2021-22
Genesis Scottish Open,401353219,2021-22
John Deere Classic,401353220,2021-22
Travelers Championship,401353221,2021-22
U.S. Open,401353222,2021-22
RBC Canadian Open,401353223,2021-22
the Memorial Tournament,401353224,2021-22
Charles Schwab Challenge,401353225,2021-22
PGA Championship,401353226,2021-22
AT&T Byron Nelson,401353227,2021-22
Wells Fargo Championship,401353228,2021-22
Mexico Open,401353229,2021-22
RBC Heritage,401353231,2021-22
Masters Tournament,401353232,2021-22
Valero Texas Open,401353273,2021-22
Corales Puntacana Championship,401353294,2021-22
Valspar Championship,401353255,2021-22
THE PLAYERS Championship,401353254,2021-22
Puerto Rico Open,401353253,2021-22
Arnold Palmer Invitational,401353239,2021-22
The Honda Classic,401353238,2021-22
The Genesis Invitational,401353237,2021-22
WM Phoenix Open,401353236,2021-22
Farmers Insurance Open,401353234,2021-22
The American Express,401353233,2021-22
Sony Open in Hawaii,401353204,2021-22
Sentry Tournament of Champions,401353203,2021-22
Hero World Challenge,401366873,2021-22
The RSM Classic,401353202,2021-22
Houston Open,401353201,2021-22
World Wide Technology Championship,401353200,2021-22
Butterfield Bermuda Championship,401353199,2021-22
ZOZO CHAMPIONSHIP,401353197,2021-22
THE CJ CUP @ SUMMIT,401353196,2021-22
Shriners Children's Open,401353195,2021-22
Sanderson Farms Championship,401353194,2021-22
