POS,PLAYER,SCORE,R1,R2,R3,R4,TOT,FEDEX PTS,TOURNAMENT_ID
1,Scottie Scheffler,-30,65,66,66,67,264,0,401580366
2,Collin Morikawa,-26,66,63,67,66,262,0,401580366
3,Sahith Theegala,-24,67,66,66,64,263,6500000,401580366
T4,Russell Henley,-19,67,71,67,62,267,3933333,401580366
T4,Adam Scott,-19,66,67,68,67,268,3933333,401580366
T4,Xander Schauffele,-19,70,64,71,68,273,3933333,401580366
7,Sungjae Im,-18,69,68,68,64,269,2050000,401580366
8,Wyndham Clark,-17,67,67,68,69,271,1650000,401580366
T9,Rory McIlroy,-16,69,69,68,66,272,1100000,401580366
T9,Hideki Matsuyama,-16,70,70,68,67,275,1100000,401580366
T9,Shane Lowry,-16,69,69,65,68,271,1100000,401580366
T12,Viktor Hovland,-15,69,71,65,66,271,562500,401580366
T12,Sam Burns,-15,67,68,68,70,273,562500,401580366
T14,Justin Thomas,-14,66,69,70,65,270,515000,401580366
T14,Taylor Pendrith,-14,66,69,70,66,271,515000,401580366
16,Ludvig Åberg,-12,71,68,68,70,277,435000,401580366
T17,Robert MacIntyre,-11,69,71,71,64,275,415000,401580366
T17,Matthieu Pavon,-11,67,69,71,67,274,415000,401580366
T17,Patrick Cantlay,-11,69,70,71,67,277,415000,401580366
20,Tommy Fleetwood,-10,70,67,71,67,275,395000,401580366
T21,Keegan Bradley,-8,69,74,71,68,282,355000,401580366
T21,Byeong Hun An,-8,69,71,69,69,278,355000,401580366
T23,Billy Horschel,-6,73,69,71,66,279,330000,401580366
T23,Aaron Rai,-6,66,70,72,70,278,330000,401580366
T23,Tony Finau,-6,70,66,74,71,281,330000,401580366
26,Akshay Bhatia,-5,70,69,71,71,281,315000,401580366
T27,Chris Kirk,-3,70,74,67,70,281,307500,401580366
T27,Sepp Straka,-3,68,70,71,73,282,307500,401580366
T29,Christiaan Bezuidenhout,3,71,69,73,74,287,297500,401580366
T29,Tom Hoge,3,69,68,76,74,287,297500,401580366
