Unnamed: 0,POS,PLAYER,YDS/DRV,DRV ACC,GIR,PP GIR,EAGLE,BIRDIE,PARS,BOGEY,DBL+,SCORE
,1,Sepp Straka,310.0,83.9,76.4,1.782,0,18,47,6,1,-10
,2,Shane Lowry,292.2,73.2,73.6,1.792,0,13,55,4,0,-9
,3,Kurt Kitayama,314.3,64.3,73.6,1.736,1,16,46,8,1,-8
,4,Daniel Berger,299.4,67.9,73.6,1.792,0,15,50,6,1,-7
,T5,Gary Woodland,311.4,64.3,72.2,1.788,0,16,48,4,4,-4
,T5,Alex Noren,301.0,67.9,76.4,1.855,0,10,56,6,0,-4
,T7,Matthias Schwab,294.5,51.8,72.2,1.827,0,11,54,6,1,-3
,T7,Chris Kirk,292.8,53.6,62.5,1.689,0,17,44,9,1,-3
,T9,Keith Mitchell,302.6,58.9,68.1,1.796,1,15,42,13,1,-2
,T9,Brian Stuard,269.2,73.2,65.3,1.809,1,10,51,10,0,-2
,T9,Sam Ryder,291.5,66.1,70.8,1.765,0,18,42,10,1,-2
,T9,John Huh,279.6,66.1,63.9,1.674,0,18,39,14,1,-2
,T9,Lee Hodges,293.8,64.3,66.7,1.729,1,13,48,8,1,-2
,T9,Adam Svensson,298.2,69.6,75.0,1.796,0,19,39,11,3,-2
,15,Mark Hubbard,287.9,53.6,62.5,1.756,1,13,46,10,2,-1
,T16,Cameron Young,311.7,64.3,68.1,1.796,1,13,44,13,1,E
,T16,Nick Taylor,293.3,55.4,65.3,1.809,1,12,47,10,2,E
,T16,C.T. Pan,294.1,57.1,69.4,1.8,0,14,46,10,2,E
,T16,Brooks Koepka,311.1,64.3,62.5,1.822,0,9,55,7,1,E
,T16,Kevin Streelman,295.3,73.2,63.9,1.87,0,10,52,10,0,E
,T16,Billy Horschel,289.2,71.4,68.1,1.857,1,9,52,9,1,E
,T16,Beau Hossler,295.6,57.1,65.3,1.787,0,13,48,9,2,E
,T16,Dylan Frittelli,312.1,53.6,58.3,1.786,1,10,49,12,0,E
,T16,Martin Contini,303.1,53.6,58.3,1.69,0,15,44,12,0,E
,T25,Christiaan Bezuidenhout,284.8,64.3,58.3,1.857,0,7,58,6,1,+1
,T25,Bill Haas,298.8,64.3,63.9,1.848,0,10,52,9,1,+1
,T25,Matt NeSmith,298.4,67.9,63.9,1.826,1,11,47,12,1,+1
,T25,Taylor Pendrith,314.8,66.1,70.8,1.843,0,11,51,8,2,+1
,T25,Chase Seiffert,290.0,57.1,65.3,1.936,0,10,51,11,0,+1
,T30,Callum Tarren,310.1,55.4,61.1,1.727,0,17,41,9,5,+2
,T30,Lucas Glover,283.0,67.9,70.8,1.765,0,13,46,11,2,+2
