Tournament ID,Year,Tournament name,Date,Location,Par,Yards,Purse
401552861,2022-23,Hero World Challenge,"Nov 30 - December 3, 2023","Albany - New Providence, Bahamas",72,7449,4500000
401552858,2022-23,World Wide Technology Championship,"November 2 - 5, 2023","El Cardonal at Diamante - Cabo San Lucas, Mexico",72,7452,8200000
401552857,2022-23,ZOZO CHAMPIONSHIP,"October 19 - 22, 2023","Accordia Golf Narashino CC - Chiba, Japan",70,7079,8500000
401552856,2022-23,Shriners Children's Open,"October 12 - 15, 2023","TPC Summerlin - Las Vegas, NV",71,7255,8400000
401552854,2022-23,Fortinet Championship,"September 14 - 17, 2023","Silverado Resort and Spa (North Course) - Napa, CA",72,7123,8400000
401465545,2022-23,TOUR Championship,"August 24 - 27, 2023","East Lake Golf Club - Atlanta, GA",70,7346,
401465544,2022-23,BMW Championship,"August 17 - 20, 2023","Olympia Fields Country Club - Olympia Fields, IL",70,7366,20000000
401465543,2022-23,FedEx St. Jude Championship,"August 10 - 13, 2023","TPC Southwind - Memphis, TN",70,7243,20000000
401465542,2022-23,Wyndham Championship,"August 3 - 6, 2023","Sedgefield Country Club - Greensboro, NC",70,7131,7600000
401465541,2022-23,3M Open,"July 27 - 30, 2023","TPC Twin Cities - Blaine, MN",71,7431,7800000
401465540,2022-23,Barracuda Championship,"July 20 - 23, 2023","Tahoe Mountain Club (Old Greenwood) - Truckee, CA",71,7480,3800000
401465539,2022-23,The Open,"July 20 - 23, 2023",Royal Liverpool GC - Hoylake,71,7383,16500000
401465538,2022-23,Barbasol Championship,"July 13 - 16, 2023","Keene Trace Golf Club (Champions Course) - Nicholasville, KY",72,7328,3800000
401465537,2022-23,Genesis Scottish Open,"July 13 - 16, 2023","The Renaissance Club - North Berwick, Scotland",70,7237,9000000
401465536,2022-23,John Deere Classic,"July 6 - 9, 2023","TPC Deere Run - Silvis, IL",71,7289,7400000
401465535,2022-23,Rocket Mortgage Classic,"Jun 29 - July 2, 2023","Detroit Golf Club - Detroit, MI",72,7370,8800000
401465534,2022-23,Travelers Championship,"June 22 - 25, 2023","TPC River Highlands - Cromwell, CT",70,6852,20000000
401465533,2022-23,U.S. Open,"June 15 - 18, 2023","Los Angeles Country Club - Los Angeles, CA",70,7421,20000000
401465532,2022-23,RBC Canadian Open,"June 8 - 11, 2023","Oakdale Golf & Country Club - Toronto, ON",72,7264,9000000
401465531,2022-23,The Memorial Tournament pres. by Workday,"June 1 - 4, 2023","Muirfield Village Golf Club - Dublin, OH",72,7571,20000000
401465530,2022-23,Charles Schwab Challenge,"May 25 - 28, 2023","Colonial Country Club - Fort Worth, TX",70,7209,8700000
401465523,2022-23,PGA Championship,"May 18 - 21, 2023","Oak Hill Country Club - Rochester, NY",70,7394,17500000
401465520,2022-23,AT&T Byron Nelson,"May 11 - 14, 2023","TPC Craig Ranch - McKinney, TX",71,7414,9500000
401465519,2022-23,Wells Fargo Championship,"May 4 - 7, 2023","Quail Hollow Club - Charlotte, NC",71,7538,20000000
401465515,2022-23,Mexico Open,"April 27 - 30, 2023","Vidanta Vallarta - Nuevo Vallarta, Mexico",71,7456,7700000
401465509,2022-23,RBC Heritage,"April 13 - 16, 2023","Harbour Town Golf Links - Hilton Head Island, SC",71,7213,20000000
401465508,2022-23,Masters Tournament,"April 6 - 9, 2023","Augusta National Golf Club - Augusta, GA",72,7545,18000000
401465502,2022-23,Valero Texas Open,"Mar 30 - April 2, 2023","TPC San Antonio (Oaks Course) - San Antonio, TX",72,7438,8900000
401465529,2022-23,Corales Puntacana Championship,"March 23 - 26, 2023","Puntacana Resort & Club (Corales Golf Course) - Punta Cana, Dominican Republic",72,7670,3800000
401465527,2022-23,Valspar Championship,"March 16 - 19, 2023","Innisbrook Resort (Copperhead Course) - Palm Harbor, FL",71,7340,8100000
401465526,2022-23,THE PLAYERS Championship,"March 9 - 12, 2023","TPC Sawgrass (THE PLAYERS Stadium Course) - Ponte Vedra Beach, FL",72,7275,25000000
401465524,2022-23,Arnold Palmer Invitational pres. by Mastercard,"March 2 - 5, 2023","Arnold Palmer's Bay Hill Club & Lodge - Orlando, FL",72,7466,20000000
401465525,2022-23,Puerto Rico Open,"March 2 - 5, 2023","Grand Reserve Country Club - Rio Grande, Puerto Rico",72,7506,3800000
401465522,2022-23,The Honda Classic,"February 23 - 26, 2023","PGA National Resort & Spa (The Champion) - Palm Beach Gardens, FL",70,7140,8400000
401465521,2022-23,The Genesis Invitational,"February 16 - 19, 2023","Riviera Country Club - Pacific Palisades, CA",71,7322,20000000
401465518,2022-23,WM Phoenix Open,"February 9 - 12, 2023","TPC Scottsdale (Stadium Course) - Scottsdale, AZ",71,7261,20000000
401465516,2022-23,Farmers Insurance Open,"January 25 - 28, 2023","Torrey Pines (North Course) - La Jolla, CA",72,7258,
401465514,2022-23,The American Express,"January 19 - 22, 2023","La Quinta Country Club - La Quinta, CA",72,7060,
401465513,2022-23,Sony Open in Hawaii,"January 12 - 15, 2023","Waialae Country Club - Honolulu, HI",70,7044,7900000
401465512,2022-23,Sentry Tournament of Champions,"January 5 - 8, 2023","Kapalua Resort (Plantation Course) - Kapalua, HI",73,7596,15000000
401552860,2022-23,The RSM Classic,"November 16 - 19, 2023","Sea Island Resort (Seaside Course) - Saint Simons Island, GA",70,7005,
401465505,2022-23,Cadence Bank Houston Open,"November 10 - 13, 2022","Memorial Park Golf Course - Houston, TX",70,7412,8400000
401552859,2022-23,Butterfield Bermuda Championship,"November 9 - 12, 2023","Port Royal Golf Course - Southampton Parish, Bermuda",71,6828,6500000
401465501,2022-23,THE CJ CUP in South Carolina,"October 20 - 23, 2022","Congaree Golf Club - Ridgeland, SC",71,7655,10500000
401552855,2022-23,Sanderson Farms Championship,"October 5 - 8, 2023","Country Club of Jackson - Jackson, MS",72,7461,8200000
